ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs
1,Sidi Ali,Sidi Ali,6111035000430,Eau,2.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0,1,A,,NOT-APPLICABLE,NON,0,
2,اكوافينا,AQUAFINA,6111252421568,Eau,0.0,0.0,0.0,0.0,0.2,0.001,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
3,Eau De Source,Cristaline,3274080005003,Eau,0.0,0.0,0.0,0.0,21.0,0.052,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
4,Ain Saïss,Danone,6111128000071,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
5,Eau minéral naturelle,Ain atlas,6111035502828,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
6,Orange juice,Coca cola,5449000147417,Autre boisson,165.0,39.0,0.0,17.0,50.4,0.126,0.0,5.0,0,15,E,51.0,C,NON,7,"e160a, e300, e414, e440, e445, e950, e954"
7,"coca cola 0,5",Coca-Cola,54491472,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338"
8,Ciel,THE COCA-COLA COMPANY,5449000061515,Eau,0.0,0.0,0.0,0.0,20.0,0.05,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,
9,Geröstete Mandel Ohne Zucker,alpro,5411188112709,Autre boisson,61.0,15.0,0.1,0.0,60.0,0.15,0.5,0.3,0,1,B,69.0,B,NON,3,"e322, e412, e418"
10,Aïn Atlas 50cl,Aïn Atlas,6111035001673,Eau,0.0,0.0,0.0,0.0,9.6,0.024,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
11,Green Tea,green tea,6923818812082,Thé,200.0,0.5,0.5,0.2,40.0,0.1,0.5,0.2,0,3,C,80.0,A,NON,0,
12,Pulco Citron,"Orangina Schweppes France,Pulco,Schweppes International Limited",3225350000501,Autre boisson,99.0,11.5,0.0,0.4,4.0,0.01,0.1,5.0,0,0,B,112.0,A-PLUS,OUI,1,e330
13,Mandelmilch mit Zucker,alpro,5411188110835,Boisson lactée,93.0,22.0,0.1,2.4,56.0,0.14,0.4,0.4,0,4,C,89.0,A,OUI,2,"e322, e418"
14,BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,Bjorg,3229820787015,Boisson lactée,102.0,25.0,0.2,0.5,20.0,0.05,0.7,0.5,0,2,B,79.0,A,OUI,2,"e412, e415"
15,Haferdrink Barista,Oatly,7394376616501,Autre boisson,257.0,61.0,0.3,3.4,40.0,0.1,1.1,0.8,0,7,D,63.0,B,NON,2,"e340, e340ii"
16,Eau minérale naturelle,Evian,3068320120256,Eau,0.0,0.0,0.0,0.0,0.7,0.002,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
17,PET 2L OASIS TROPICAL,"Oasis,Orangina Schweppes France",3124480191182,Eau,120.0,28.0,0.0,6.6,12.0,0.03,0.1,0.0,0,7,D,48.0,C,NON,5,"e160c, e296, e300, e330, e331"
18,Coca-Cola slim 25cl,Coca-Cola,5449000008046,Soda,70.4,42.0,0.0,10.6,8.3,0.021,0.0,0.0,0,10,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338"
19,Badoit 1 L PET,BADOIT,3068320114453,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
20,Raibi jamila,central,6111032009870,Boisson lactée,245.0,58.6,0.9,7.0,0.0,0.0,1.6,0.0,0,8,D,37.0,D,NON,0,
21,Red Bull,Red Bull,9002490100070,Soda,195.0,46.6,0.0,11.0,40.0,0.1,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,6,"e101, e150, e290, e330, e500, e504"
22,Jutos,Jaouda,6111242106666,Jus de fruits,66.8,42.2,0.0,8.0,20.0,0.05,0.0,0.0,0,7,D,21.0,E,NON,1,e330
23,"Alpro Haferdrink, Ungesüßt 1 L, FRESH",alpro,5411188124702,Autre boisson,169.0,40.0,0.2,0.0,44.0,0.11,0.2,1.2,0,3,C,65.0,B,NON,1,e418
24,Organic oat drink,Oatly,7394376123337,Boisson lactée,166.0,39.0,0.1,3.4,0.1,0.0,1.1,0.8,0,5,C,77.0,A,OUI,0,
25,COCA COLA PET 1.25L CT,Coca-Cola,5449000267412,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,2,"e150d, e338"
26,Soyamilch,ALPRO,5411188115472,Boisson lactée,163.0,39.0,0.3,2.5,36.0,0.09,3.0,0.5,0,-1,B,86.0,A,NON,2,"e340, e418"
27,Multivitamin Capri-Sun,Capri-Sun,4000177158319,Autre boisson,130.0,31.0,0.0,7.3,0.0,0.0,0.0,0.0,0,8,D,49.0,C,NON,0,
28,CONTREX eau minérale naturelle,Contrex,7613035866386,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
29,Avoine - Boisson biologique,Bjorg,3229820792132,Boisson lactée,187.0,45.0,0.3,4.0,36.0,0.09,0.5,0.5,0,6,C,82.0,A,OUI,0,
30,Pétillante saveur Citron,"Lidl, Saguaro",20656935,Eau,1.0,0.0,0.0,0.0,4.0,0.01,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,
31,Succo di limone,"Solevita, Italiamo",20019907,Autre boisson,117.0,28.0,0.1,2.2,4.0,0.01,0.4,0.0,0,-2,B,32.0,D,NON,2,"e224, e300"
32,Danup fraise,Danone,6111032004448,Boisson lactée,59.0,246.0,1.06,5.5,0.0,0.0,1.75,0.0,0,4,C,23.0,E,NON,0,
33,chocolat en poudre,Poulain,3664346306027,Soda,297.0,71.0,1.2,8.1,44.0,0.11,4.0,1.2,0,11,E,37.0,D,NON,0,
34,Bebida de Avena,Alitey,8423352861402,Autre boisson,198.0,47.0,0.1,5.4,12.0,0.03,1.6,0.7,0,1,B,63.0,B,NON,0,
35,"Alpro® Mandeldrink Ungesüßt, 1 L, FRESH",Alpro,5411188112778,Autre boisson,53.0,13.0,0.1,0.0,52.0,0.13,0.4,0.4,0,1,B,78.0,A,NON,1,e418
36,Press Up moyen,Jaouda,6111242107366,Jus de fruits,157.0,37.0,0.0,4.5,1000.0,2.5,0.1,0.2,0,14,E,21.0,E,NON,1,e330
37,ROZANA Eau Minérale Naturelle Pétillante 1.00 L,Rozana,3468570116601,Eau,0.0,0.0,0.0,0.0,49.3,0.123,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,
38,"Alpro Sojadrink, Ungesüßt 1L",Danone,5411188115496,Boisson lactée,138.0,33.0,0.3,0.0,36.0,0.09,3.3,0.6,0,-5,B,77.0,A,NON,2,"e340, e418"
39,Coca-Cola Zero,Coca-Cola,5449000131843,Soda,1.3,0.3,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,7,"e150d, e290, e331, e338, e950, e951, e952"
